Day,Event Name,Warning Bell Time,Main Bell Time
"Monday, Tuesday, Friday",Period 1 Start,8:27 AM,8:30 AM
"Monday, Tuesday, Friday",Period 1 End,9:07 AM,9:10 AM
"Monday, Tuesday, Friday",Period 2 Start,,
"Monday, Tuesday, Friday",Period 2 End,,
"Monday, Tuesday, Friday",Period 3 Start,10:22 AM,10:25 AM
"Monday, Tuesday, Friday",Period 3 End,11:02 AM,11:05 AM
"Monday, Tuesday, Friday",Period 4 Start,,
"Monday, Tuesday, Friday",Period 4 End,11:57 AM,12:00 PM
"Monday, Tuesday, Friday",Period 5 Start,12:47 PM,12:50 PM
"Monday, Tuesday, Friday",Period 5 End,1:27 PM,1:30 PM
"Monday, Tuesday, Friday",Period 6 Start,1:42 PM,1:45 PM
"Monday, Tuesday, Friday",Period 6 End,2:22 PM,2:25 PM
Wednesday,Period 2 Start,9:12 AM,9:15 AM
Wednesday,Period 2 End,10:32 AM,10:35 AM
Wednesday,I&E Start,,
Wednesday,I&E End,11:22 AM,11:25 AM
Wednesday,Period 4 Start,11:37 AM,11:40 AM
Wednesday,Period 4 End,12:57 PM,1:00 PM
Wednesday,Period 6 Start,1:57 PM,2:00 PM
Wednesday,Period 6 End,3:17 PM,3:20 PM
Thursday,Period 1 Start,8:27 AM,8:30 AM
Thursday,Period 1 End,9:47 AM,9:50 AM
Thursday,Period 3 Start,10:02 AM,10:05 AM
Thursday,Period 3 End,11:22 AM,11:25 AM
Thursday,Period 5 Start,11:37 AM,11:40 AM
Thursday,Period 5 End,12:57 PM,1:00 PM
